source	target	weight
Mogibacterium	Fusicatenibacter	0
Dialister	Romboutsia	0
Dialister	NK4A214.group	0
Dialister	Rikenellaceae.RC9.gut.group	0
Dialister	Enterococcus	0
Dialister	Holdemanella	0
Dialister	Bacteroides	0
Dialister	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
Dialister	Sarcina	0
Dialister	Ligilactobacillus	0
Dialister	CHKCI002	0
Dialister	Fusicatenibacter	0
Romboutsia	NK4A214.group	0
Romboutsia	Rikenellaceae.RC9.gut.group	0
Romboutsia	Enterococcus	0
Romboutsia	Holdemanella	0
Romboutsia	Bacteroides	0
Romboutsia	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
Romboutsia	Ligilactobacillus	0
Romboutsia	Fusicatenibacter	0
NK4A214.group	Rikenellaceae.RC9.gut.group	0
NK4A214.group	Enterococcus	0
NK4A214.group	Holdemanella	0
NK4A214.group	Bacteroides	0
NK4A214.group	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
NK4A214.group	Ligilactobacillus	0
NK4A214.group	CHKCI002	0
NK4A214.group	Fusicatenibacter	0
Rikenellaceae.RC9.gut.group	Holdemanella	0
Rikenellaceae.RC9.gut.group	Bacteroides	0
Rikenellaceae.RC9.gut.group	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
Rikenellaceae.RC9.gut.group	Sarcina	0
Rikenellaceae.RC9.gut.group	CHKCI002	0
Rikenellaceae.RC9.gut.group	Fusicatenibacter	0
Enterococcus	Holdemanella	0
Enterococcus	Bacteroides	0
Enterococcus	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
Enterococcus	Sarcina	0
Enterococcus	Ligilactobacillus	0
Enterococcus	CHKCI002	0
Holdemanella	Bacteroides	0
Holdemanella	Sarcina	0
Holdemanella	Ligilactobacillus	0
Holdemanella	CHKCI002	0
Holdemanella	Fusicatenibacter	0
Bacteroides	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
Bacteroides	Sarcina	0
Bacteroides	Ligilactobacillus	0
Bacteroides	CHKCI002	0
Bacteroides	Fusicatenibacter	0
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	Sarcina	0
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	Ligilactobacillus	0
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	CHKCI002	0
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	Fusicatenibacter	0
Sarcina	Ligilactobacillus	0
Sarcina	CHKCI002	0
Sarcina	Fusicatenibacter	0
Ligilactobacillus	Fusicatenibacter	0
CHKCI002	Fusicatenibacter	0
